MCC-MNC,Nom
20801,Orange
20802,Orange
20803,Mobiquithings
20804,Société d'ingénierie système télécom et réseaux (SISTEER)
20805,Globalstar Europe SARL
20806,Globalstar Europe SARL
20807,Globalstar Europe SARL
20808,SFR
20809,SFR
20810,SFR
20811,SFR
20812,Truphone France
20813,SFR
20814,Usage ARCEP
20815,Free
20816,Free
20817,Legos
20818,Usage ARCEP
20819,Haute-Garonne numérique
20820,Bouygues
20821,Bouygues
20822,Transatel
20823,Syndicat mixte ouvert Charente numérique
20824,Mobiquithings
20825,Lycamobile SARL
20826,Euro-Information telecom
20827,Coriolis telecom SAS
20829,Cubic telecom France
20830,Syma
20831,Vectone mobile
20832,Orange
20833,Syndicat mixte La Fibre64
20834,Cellhire (France)
20835,Free
20836,Free
20837,IP Directions
20850001,EDF
20850002,EDF
20850007,EDF
20850008,EDF
20850010,EDF
20850017,EDF
20850018,EDF
20850026,EDF
20850028,EDF
20850030,EDF
20850032,EDF
20850033,EDF
20850036,EDF
20850037,EDF
20850038,EDF
20850041,EDF
20850042,EDF
20850045,EDF
20850047,EDF
20850049,EDF
20850050,EDF
20850051,EDF
20850054,EDF
20850057,EDF
20850058,EDF
20850059,EDF
20850062,EDF
20850067,EDF
20850068,EDF
20850069,EDF
20850076,EDF
20850077,EDF
20850079,EDF
20850080,EDF
20850082,EDF
20850084,EDF
20850086,EDF
20850087,EDF
20850089,EDF
208700,Weaccess group
208701,GIP Vendée numérique
208702,17-Numerique
208703,Nivertel
208704,Axione Limousin
208705,Hautes-Pyrénées Numérique
208706,Tours Métropole Numérique
208707,Sartel THD
208708,Melis@ territoires ruraux
208709,Quimper communauté télécom
208710,Losange
208711,Nomotech
20885,Usage collectif
20886,SEM@FOR77
20888,Bouygues
20889,Hub One
20890,Usage collectif
20891,Orange
20892,Usage collectif
20894,Halys
20896,Région Bourgogne-Franche-Comté
20899,Usage ARCEP
30801,SAS SPM Telecom
30802,Globaltel
30803,SAS SPM Telecom
30818,Usage ARCEP
30885,Usage collectif
30890,Usage collectif
30892,Usage collectif
30899,Usage ARCEP
34001,Orange Caraïbe
34002,Outremer Telecom
34003,United telecommunication services Caraïbe
34004,Free Caraïbe
34008,Dauphin telecom
34009,Free Caraïbe
34010,GUADELOUPE TELEPHONE MOBILE
34011,GUYANE TELEPHONE MOBILE
34012,MARTINIQUE TELEPHONE MOBILE
34018,Usage ARCEP
34020,Digicel Antilles Françaises Guyane
34085,Usage collectif
34090,Usage collectif
34092,Usage collectif
34099,Usage ARCEP
64700,Orange
64701,BJT Partners
64702,Telco OI
64703,Telco OI
64704,Zeop mobile
64710,Société réunionnaise du radiotéléphone
64718,Usage ARCEP
64785,Usage collectif
64790,Usage collectif
64792,Usage collectif
64799,Usage ARCEP
74204,Free Caraïbe
74218,Usage ARCEP
74285,Usage collectif
74290,Usage collectif
74292,Usage collectif
74299,Usage ARCEP
