2G,3G,4G,Operateur,result_city
1,1,0,Orange,Ouessant
1,1,0,SFR,Ouessant
1,1,1,Bouygues,Ouessant
0,1,1,Orange,Île-Molčne
1,1,0,Orange,Île-de-Sein
1,1,0,Orange,Le Conquet
1,1,1,Bouygues,Le Conquet
1,1,0,Orange,Porspoder
1,1,0,Bouygues,Porspoder
1,1,1,Orange,Plouarzel
1,1,1,Orange,Plogoff
1,1,1,Orange,Plougonvelin
1,1,0,SFR,Plougonvelin
1,1,1,Bouygues,Plougonvelin
0,1,1,Free,Plougonvelin
1,1,1,Orange,Ploumoguer
1,1,0,Bouygues,Ploumoguer
1,1,1,Orange,Ploudalmézeau
1,1,0,SFR,Ploudalmézeau
1,1,1,Bouygues,Ploudalmézeau
0,1,0,Free,Ploudalmézeau
1,1,1,Orange,Locmaria-Plouzané
0,1,1,Orange,Plouzané
0,1,1,Orange,Saint-Renan
0,1,0,SFR,Saint-Renan
1,1,0,Orange,Plouzané
1,1,1,SFR,Plouzané
1,1,1,Bouygues,Plouzané
1,1,1,Orange,Saint-Renan
1,1,1,Orange,Plouzané
1,1,0,Orange,Camaret-sur-Mer
1,1,1,Bouygues,Camaret-sur-Mer
1,1,0,Orange,Crozon
1,1,1,Orange,Plouhinec
0,1,0,SFR,Plouhinec
1,1,0,Bouygues,Plouhinec
0,1,1,Free,Plouhinec
1,1,1,Orange,Guilers
1,1,1,Bouygues,Guilers
0,1,1,Free,Guilers
1,1,0,Orange,Brest
1,1,0,Orange,Milizac-Guipronvel
1,1,0,Orange,Guilers
1,1,0,SFR,Guilers
0,1,1,Orange,Crozon
1,1,0,Orange,Landéda
1,0,0,Bouygues,Landéda
0,1,1,Orange,Brest
1,1,1,SFR,Brest
1,1,1,Bouygues,Brest
1,1,0,Orange,Plouhinec
1,1,1,Orange,Brest
1,1,1,Orange,Crozon
1,1,0,SFR,Crozon
0,1,1,Free,Crozon
0,1,1,Free,Brest
1,0,0,Orange,Brest
0,1,0,Orange,Lannilis
0,0,0,Orange,Crozon
1,1,1,Orange,Lannilis
1,1,0,SFR,Brest
0,0,1,Bouygues,Brest
1,0,0,Bouygues,Brest
1,1,0,Orange,Plozévet
1,1,0,SFR,Plozévet
1,1,0,Bouygues,Plozévet
0,1,1,Free,Plozévet
1,1,0,Orange,Plouvien
0,1,0,Free,Brest
1,1,0,Orange,Bourg-Blanc
0,0,0,Orange,Brest
1,0,1,Bouygues,Brest
1,1,0,Orange,Lanvéoc
1,1,0,Orange,Confort-Meilars
1,1,1,Orange,Gouesnou
1,1,1,Bouygues,Gouesnou
0,1,1,Free,Gouesnou
1,1,1,Orange,Plouguerneau
1,1,0,SFR,Plouguerneau
0,1,0,SFR,Brest
0,1,0,Orange,Brest
1,1,0,Orange,Gouesnou
1,1,1,SFR,Gouesnou
1,1,1,Orange,Penmarch
1,1,0,Orange,Plabennec
1,1,1,SFR,Plabennec
0,1,0,Orange,Guipavas
1,1,0,Orange,Guipavas
1,1,1,SFR,Guipavas
0,1,1,Orange,Penmarch
1,1,1,SFR,Penmarch
1,1,1,Bouygues,Penmarch
1,1,1,Bouygues,Plouvien
0,1,0,Orange,Plabennec
1,1,0,Orange,Le Relecq-Kerhuon
1,1,1,Bouygues,Le Relecq-Kerhuon
1,1,1,Orange,Guipavas
1,1,1,Bouygues,Guipavas
0,1,0,Free,Guipavas
1,1,1,Orange,Plabennec
1,1,1,Bouygues,Plabennec
1,1,1,Orange,Le Relecq-Kerhuon
1,1,0,Orange,Pouldreuzic
1,1,0,Orange,Landudec
1,1,1,SFR,Le Relecq-Kerhuon
1,1,1,Orange,Douarnenez
1,1,1,Orange,Plougastel-Daoulas
