2G,3G,4G,Operateur,lat,lng
1,1,0,Orange,48.4565745588299,-5.088856115301341
0,1,1,Orange,48.397297481379525,-4.956781637814168
1,1,0,Orange,48.03805041236693,-4.854028771080817
1,1,0,Orange,48.35470076931587,-4.777731877992547
1,1,0,Orange,48.504338040187676,-4.771619784305975
1,1,1,Orange,48.454202465754555,-4.754270395748871
1,1,1,Orange,48.03721814578295,-4.677613741696569
1,1,1,Orange,48.350618362312616,-4.722711567761938
1,1,1,Orange,48.40750883011894,-4.7161736109328105
1,1,1,Orange,48.528751755521526,-4.660596652722694
1,1,1,Orange,48.35927170866489,-4.632848317346042
0,1,1,Orange,48.38189027371682,-4.621458999320931
0,1,1,Orange,48.42864000502851,-4.627879842901475
1,1,0,Orange,48.38826760521155,-4.620961122333532
1,1,1,Orange,48.44749286754812,-4.618221914669326
1,1,1,Orange,48.3779786785026,-4.6027639002634135
1,1,0,Orange,48.272988451820424,-4.585258393455487
1,1,0,Orange,48.17003081816251,-4.552764714222969
1,1,0,Orange,48.377810334171066,-4.575550428488787
1,1,1,Orange,48.02008937364414,-4.522602806079979
1,1,1,Orange,48.360655509622376,-4.571038765387795
1,1,1,Orange,48.429826714764424,-4.571569238752389
1,1,1,Orange,48.01615232563416,-4.50262674609969
1,1,1,Orange,48.427417892912956,-4.555672269040568
1,1,0,Orange,48.37376264046616,-4.544591787908404
1,1,0,Orange,48.469759863013856,-4.5582092840146435
1,1,0,Orange,48.41834725798996,-4.546136591209191
0,1,1,Orange,48.227081040339385,-4.517234539206713
1,1,0,Orange,48.587745750444896,-4.567601391410825
0,1,1,Orange,48.38312320383722,-4.5375535236320665
1,1,0,Orange,48.37807013194963,-4.532323165484336
1,1,0,Orange,48.03278024592943,-4.481039992416079
1,1,1,Orange,48.38461989654117,-4.524987419421742
1,1,1,Orange,48.3973110753764,-4.521543411327385
1,1,1,Orange,48.245193091075,-4.492841196839451
1,1,1,Orange,48.40817781789183,-4.513668852908639
1,1,1,Orange,48.38280260183032,-4.509938063552966
0,1,1,Orange,48.38817441076518,-4.507464506873177
1,1,0,Orange,48.439503819051964,-4.514481518660306
1,1,1,Orange,48.404485630153495,-4.50734394168984
1,1,1,Orange,48.3922214681799,-4.5053571875437965
1,0,0,Orange,48.38692722850721,-4.503052612646769
0,1,0,Orange,48.565856514256524,-4.527301836037755
0,0,0,Orange,48.271390518443276,-4.48508198907465
1,1,1,Orange,48.38555278200612,-4.499219740462875
1,1,0,Orange,48.41179151431417,-4.501874552299347
1,1,1,Orange,48.578759356700694,-4.520908418291879
1,1,0,Orange,48.384865195828375,-4.492676759601619
1,1,1,Orange,48.403772431507505,-4.492800520441367
1,1,1,Orange,48.3903111808162,-4.4888822313289225
1,1,1,Orange,48.396358750091345,-4.4895696713075415
1,1,0,Orange,47.98620547239945,-4.427899109949993
1,1,0,Orange,48.53838679178292,-4.505615703254542
1,1,1,Orange,48.424457158610224,-4.489254599943669
1,1,0,Orange,48.49962569001485,-4.499959857430783
1,1,1,Orange,48.3885697284537,-4.483273965674725
1,1,1,Orange,48.393091706185025,-4.483078058249086
1,1,1,Orange,48.39917413146819,-4.482643432979409
0,1,1,Orange,48.396441060790735,-4.4812762850896455
0,0,0,Orange,48.393279767199154,-4.479821051574646
1,1,1,Orange,48.41596684883543,-4.48061546644197
1,1,1,Orange,48.39547795482255,-4.475357977762594
1,1,1,Orange,48.408912806256104,-4.477124737002918
1,1,1,Orange,48.390572341878745,-4.472189073393095
1,1,0,Orange,48.28137673896356,-4.454697560990373
1,1,0,Orange,48.057810607826056,-4.4207722141926915
1,1,1,Orange,48.45741735320254,-4.4773526545941165
1,1,1,Orange,48.40387167010385,-4.468235205086474
1,1,1,Orange,48.44757092214645,-4.473719202462348
1,1,1,Orange,48.60663214420323,-4.495683640452803
1,1,1,Orange,48.39558190132224,-4.461124302783756
0,1,0,Orange,48.41506744569892,-4.463097404485385
1,1,1,Orange,48.419807822562944,-4.459292378709941
1,1,1,Orange,48.40598427837041,-4.456239436021039
1,1,0,Orange,48.42930032165363,-4.458226828074669
1,1,1,Orange,48.392537927592834,-4.447773472036582
1,1,1,Orange,48.401247178231884,-4.447952233656386
1,1,1,Orange,47.80566789277085,-4.360857539755797
1,1,0,Orange,48.45705290236379,-4.451895132681866
0,1,0,Orange,48.42851365986898,-4.442594957720659
1,1,1,Orange,47.82436377487562,-4.3563659118444855
1,1,0,Orange,48.405001099803826,-4.435402193837376
0,1,1,Orange,47.81320390401493,-4.345384025133125
1,1,0,Orange,48.53105935370182,-4.444701187728833
0,1,0,Orange,48.498543928810356,-4.438293625028768
1,1,0,Orange,48.399027217342386,-4.4218939161731
0,1,0,Orange,48.42235817611214,-4.424791004068951
1,1,0,Orange,48.41197455387811,-4.415298178704073
1,1,1,Orange,48.43870685693628,-4.417411743019734
1,1,1,Orange,48.504177420599774,-4.42266883047043
